Итоговое расписание занятий
--------------------------------------------------
Группа 4301 | Предмет Программирование | Время ПТ 5 пара | Аудитория Г-54-18 | Преподаватель Павлов_15
Группа 4318 | Предмет Защита_информации | Время ПН 2 пара | Аудитория БМ-44-07 | Преподаватель Петров_41
Группа 4318 | Предмет Философия | Время СР 5 пара | Аудитория Г-55-08 | Преподаватель Зайцев_58
Группа 4319 | Предмет Программирование | Время ПН 5 пара | Аудитория БМ-52-06 | Преподаватель Иванов_0
Группа 4319 | Предмет Программирование | Время СР 2 пара | Аудитория БМ-53-14 | Преподаватель Павлов_15
Группа 4319 | Предмет Высшая_математика | Время ЧТ 6 пара | Аудитория БМ-35-15 | Преподаватель Макаров_16
Группа 4319 | Предмет Базы_данных | Время СР 5 пара | Аудитория БМ-55-07 | Преподаватель Кузнецов_63
Группа 4319 | Предмет Базы_данных | Время ЧТ 5 пара | Аудитория БМ-35-22 | Преподаватель Кузнецов_3
Группа 4319 | Предмет Схемотехника | Время СР 1 пара | Аудитория Г-13-13 | Преподаватель Борисов_19
Группа 4319 | Предмет Сети_ЭВМ | Время СР 6 пара | Аудитория БМ-43-17 | Преподаватель Волков_50
Группа 4319 | Предмет Инженерная_графика | Время ВТ 1 пара | Аудитория Г-23-23 | Преподаватель Лебедев_6
Группа 4319 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 4 пара | Аудитория Г-42-16 | Преподаватель Зайцев_38
Группа 4319 | Предмет Алгоритмы_и_структуры_данных | Время ПН 6 пара | Аудитория Г-53-15 | Преподаватель Новиков_8
Группа 4319 | Предмет ТАУ | Время ПТ 3 пара | Аудитория Г-51-06 | Преподаватель Борисов_39
Группа 4319 | Предмет Защита_информации | Время ВТ 5 пара | Аудитория БМ-51-17 | Преподаватель Алексеев_11
Группа 4319 | Предмет Защита_информации | Время ВТ 6 пара | Аудитория Г-12-26 | Преподаватель Петров_41
Группа 4319 | Предмет Экономика | Время ПТ 1 пара | Аудитория Г-15-07 | Преподаватель Захаров_57
Группа 4319 | Предмет Экономика | Время ЧТ 4 пара | Аудитория БМ-44-06 | Преподаватель Смирнов_42
Группа 4319 | Предмет Английский_язык | Время ПТ 2 пара | Аудитория Г-55-08 | Преподаватель Орлов_74
Группа 4319 | Предмет Английский_язык | Время ВТ 2 пара | Аудитория БМ-24-02 | Преподаватель Орлов_14
Группа 4320 | Предмет Программирование | Время ПН 4 пара | Аудитория БМ-25-22 | Преподаватель Волков_30
Группа 4320 | Предмет Программирование | Время ЧТ 4 пара | Аудитория БМ-33-14 | Преподаватель Соколов_45
Группа 4320 | Предмет Физика | Время СР 4 пара | Аудитория Г-11-28 | Преподаватель Смирнов_2
Группа 4320 | Предмет Физика | Время ПТ 6 пара | Аудитория Г-31-12 | Преподаватель Козлов_47
Группа 4320 | Предмет Сети_ЭВМ | Время СР 2 пара | Аудитория БМ-34-15 | Преподаватель Соколов_65
Группа 4320 | Предмет Инженерная_графика | Время ВТ 2 пара | Аудитория Г-41-24 | Преподаватель Лебедев_66
Группа 4320 | Предмет Инженерная_графика | Время СР 1 пара | Аудитория Г-21-12 | Преподаватель Макаров_36
Группа 4320 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 1 пара | Аудитория Г-45-12 | Преподаватель Новиков_8
Группа 4320 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 5 пара | Аудитория Г-45-03 | Преподаватель Николаев_53
Группа 4320 | Предмет ТАУ | Время ПН 6 пара | Аудитория Г-55-08 | Преподаватель Борисов_39
Группа 4320 | Предмет ТАУ | Время ЧТ 3 пара | Аудитория Г-35-21 | Преподаватель Морозов_9
Группа 4320 | Предмет Микропроцессорные_системы | Время ПТ 4 пара | Аудитория БМ-44-09 | Преподаватель Павлов_55
Группа 4320 | Предмет Защита_информации | Время ВТ 3 пара | Аудитория Г-12-15 | Преподаватель Алексеев_11
Группа 4320 | Предмет Экономика | Время СР 3 пара | Аудитория Г-25-19 | Преподаватель Степанов_72
Группа 4320 | Предмет Экономика | Время ЧТ 5 пара | Аудитория БМ-31-04 | Преподаватель Смирнов_42
Группа 4320 | Предмет Английский_язык | Время ПН 5 пара | Аудитория Г-45-12 | Преподаватель Орлов_74
Группа 4320 | Предмет Английский_язык | Время ПН 3 пара | Аудитория Г-31-18 | Преподаватель Орлов_14
Группа 4321 | Предмет Физика | Время ЧТ 5 пара | Аудитория Г-52-06 | Преподаватель Козлов_47
Группа 4321 | Предмет Инженерная_графика | Время СР 1 пара | Аудитория Г-43-22 | Преподаватель Алексеев_51
Группа 4321 | Предмет Инженерная_графика | Время ВТ 2 пара | Аудитория Г-12-15 | Преподаватель Алексеев_51
Группа 4321 | Предмет ОС | Время ВТ 3 пара | Аудитория Г-54-18 | Преподаватель Степанов_52
Группа 4321 | Предмет Микропроцессорные_системы | Время ПН 4 пара | Аудитория Г-55-08 | Преподаватель Соколов_25
Группа 4321 | Предмет Защита_информации | Время ПТ 2 пара | Аудитория Г-31-18 | Преподаватель Макаров_56
Группа 4321 | Предмет Английский_язык | Время ПН 5 пара | Аудитория БМ-34-02 | Преподаватель Попов_44
Группа 4321 | Предмет Английский_язык | Время ПТ 1 пара | Аудитория БМ-25-29 | Преподаватель Попов_44
Группа 4322 | Предмет Программирование | Время ПТ 2 пара | Аудитория БМ-33-14 | Преподаватель Иванов_60
Группа 4322 | Предмет Высшая_математика | Время СР 4 пара | Аудитория Г-21-12 | Преподаватель Макаров_76
Группа 4322 | Предмет Высшая_математика | Время ЧТ 5 пара | Аудитория Г-55-14 | Преподаватель Макаров_16
Группа 4322 | Предмет Базы_данных | Время ПН 1 пара | Аудитория Г-13-13 | Преподаватель Николаев_33
Группа 4322 | Предмет Инженерная_графика | Время ВТ 4 пара | Аудитория Г-11-16 | Преподаватель Петров_21
Группа 4322 | Предмет Инженерная_графика | Время ПТ 5 пара | Аудитория БМ-43-17 | Преподаватель Петров_21
Группа 4322 | Предмет Микропроцессорные_системы | Время СР 5 пара | Аудитория БМ-34-12 | Преподаватель Соколов_25
Группа 4322 | Предмет Защита_информации | Время СР 6 пара | Аудитория БМ-55-27 | Преподаватель Лебедев_26
Группа 4322 | Предмет Экономика | Время ЧТ 4 пара | Аудитория БМ-35-22 | Преподаватель Степанов_12
Группа 4322 | Предмет Экономика | Время ЧТ 3 пара | Аудитория БМ-31-13 | Преподаватель Степанов_72
Группа 4322 | Предмет Философия | Время ПТ 3 пара | Аудитория Г-43-22 | Преподаватель Николаев_73
Группа 4322 | Предмет Философия | Время ПТ 1 пара | Аудитория Г-54-18 | Преподаватель Новиков_28
Группа 4322 | Предмет Английский_язык | Время СР 3 пара | Аудитория Г-31-11 | Преподаватель Борисов_59
Группа 4322 | Предмет Английский_язык | Время ВТ 3 пара | Аудитория Г-52-02 | Преподаватель Морозов_29
Группа 4323 | Предмет Высшая_математика | Время ПТ 4 пара | Аудитория Г-43-22 | Преподаватель Петров_1
Группа 4323 | Предмет Высшая_математика | Время ЧТ 6 пара | Аудитория Г-15-03 | Преподаватель Петров_61
Группа 4323 | Предмет Физика | Время ЧТ 5 пара | Аудитория Г-35-27 | Преподаватель Степанов_32
Группа 4323 | Предмет Сети_ЭВМ | Время ПН 2 пара | Аудитория БМ-42-03 | Преподаватель Соколов_65
Группа 4323 | Предмет ОС | Время ПТ 2 пара | Аудитория БМ-34-12 | Преподаватель Захаров_37
Группа 4323 | Предмет ТАУ | Время ВТ 6 пара | Аудитория БМ-42-28 | Преподаватель Попов_24
Группа 4323 | Предмет ТАУ | Время СР 1 пара | Аудитория Г-55-08 | Преподаватель Морозов_69
Группа 4323 | Предмет Защита_информации | Время ЧТ 4 пара | Аудитория Г-23-13 | Преподаватель Алексеев_71
Группа 4323 | Предмет Экономика | Время СР 2 пара | Аудитория Г-22-28 | Преподаватель Смирнов_42
Группа 4323 | Предмет Английский_язык | Время ЧТ 2 пара | Аудитория Г-11-16 | Преподаватель Борисов_59
Группа 4323 | Предмет Английский_язык | Время ПТ 3 пара | Аудитория Г-23-15 | Преподаватель Орлов_14
Группа 4324 | Предмет Программирование | Время СР 6 пара | Аудитория Г-12-22 | Преподаватель Иванов_0
Группа 4324 | Предмет Программирование | Время ПТ 4 пара | Аудитория Г-52-02 | Преподаватель Соколов_45
Группа 4324 | Предмет Высшая_математика | Время СР 5 пара | Аудитория Г-51-14 | Преподаватель Петров_1
Группа 4324 | Предмет Высшая_математика | Время ЧТ 3 пара | Аудитория Г-43-22 | Преподаватель Петров_61
Группа 4324 | Предмет Физика | Время ПН 2 пара | Аудитория Г-42-29 | Преподаватель Смирнов_2
Группа 4324 | Предмет Базы_данных | Время ВТ 1 пара | Аудитория Г-55-08 | Преподаватель Новиков_48
Группа 4324 | Предмет Схемотехника | Время ЧТ 1 пара | Аудитория Г-54-18 | Преподаватель Орлов_34
Группа 4324 | Предмет Схемотехника | Время ПТ 6 пара | Аудитория Г-51-14 | Преподаватель Борисов_19
Группа 4324 | Предмет Сети_ЭВМ | Время ЧТ 2 пара | Аудитория Г-41-24 | Преподаватель Соколов_5
Группа 4324 | Предмет Сети_ЭВМ | Время ПН 3 пара | Аудитория Г-22-28 | Преподаватель Павлов_35
Группа 4324 | Предмет ТАУ | Время ПТ 3 пара | Аудитория Г-31-18 | Преподаватель Морозов_9
Группа 4324 | Предмет ТАУ | Время ПН 5 пара | Аудитория Г-14-27 | Преподаватель Морозов_69
Группа 4324 | Предмет Микропроцессорные_системы | Время СР 4 пара | Аудитория Г-15-07 | Преподаватель Волков_10
Группа 4324 | Предмет Микропроцессорные_системы | Время ПН 1 пара | Аудитория БМ-51-19 | Преподаватель Соколов_25
Группа 4324 | Предмет Защита_информации | Время ВТ 2 пара | Аудитория БМ-42-03 | Преподаватель Макаров_56
Группа 4324 | Предмет Защита_информации | Время СР 3 пара | Аудитория Г-12-15 | Преподаватель Петров_41
Группа 4324 | Предмет Философия | Время ЧТ 4 пара | Аудитория Г-34-14 | Преподаватель Николаев_73
Группа 4324 | Предмет Философия | Время ПТ 5 пара | Аудитория БМ-22-30 | Преподаватель Николаев_13
Группа 4325 | Предмет Высшая_математика | Время СР 2 пара | Аудитория БМ-15-20 | Преподаватель Макаров_16
Группа 4325 | Предмет Высшая_математика | Время ПТ 2 пара | Аудитория Г-31-26 | Преподаватель Макаров_16
Группа 4325 | Предмет Физика | Время СР 3 пара | Аудитория Г-52-06 | Преподаватель Захаров_77
Группа 4325 | Предмет Физика | Время ВТ 3 пара | Аудитория Г-34-14 | Преподаватель Захаров_77
Группа 4325 | Предмет Базы_данных | Время ЧТ 5 пара | Аудитория Г-41-11 | Преподаватель Зайцев_18
Группа 4325 | Предмет ОС | Время ПН 4 пара | Аудитория Г-53-02 | Преподаватель Смирнов_22
Группа 4325 | Предмет ОС | Время ПН 5 пара | Аудитория БМ-15-20 | Преподаватель Захаров_37
Группа 4325 | Предмет ТАУ | Время ПТ 1 пара | Аудитория Г-43-27 | Преподаватель Орлов_54
Группа 4325 | Предмет Микропроцессорные_системы | Время ВТ 1 пара | Аудитория Г-55-04 | Преподаватель Соколов_25
Группа 4325 | Предмет Микропроцессорные_системы | Время СР 4 пара | Аудитория Г-34-14 | Преподаватель Павлов_55
Группа 4325 | Предмет Защита_информации | Время ВТ 2 пара | Аудитория БМ-43-21 | Преподаватель Алексеев_71
Группа 4325 | Предмет Английский_язык | Время СР 5 пара | Аудитория Г-13-13 | Преподаватель Попов_44
Группа 4325 | Предмет Английский_язык | Время ПН 3 пара | Аудитория Г-14-27 | Преподаватель Борисов_59
Группа 4326 | Предмет Высшая_математика | Время ПН 3 пара | Аудитория БМ-25-29 | Преподаватель Петров_61
Группа 4326 | Предмет Высшая_математика | Время СР 1 пара | Аудитория Г-34-14 | Преподаватель Петров_61
Группа 4326 | Предмет Физика | Время СР 2 пара | Аудитория БМ-14-07 | Преподаватель Захаров_77
Группа 4326 | Предмет Физика | Время ВТ 3 пара | Аудитория Г-44-07 | Преподаватель Смирнов_2
Группа 4326 | Предмет Сети_ЭВМ | Время ЧТ 3 пара | Аудитория БМ-33-16 | Преподаватель Павлов_35
Группа 4326 | Предмет Сети_ЭВМ | Время ЧТ 4 пара | Аудитория БМ-24-02 | Преподаватель Соколов_5
Группа 4326 | Предмет Инженерная_графика | Время ЧТ 2 пара | Аудитория БМ-31-04 | Преподаватель Макаров_36
Группа 4326 | Предмет ОС | Время ПН 4 пара | Аудитория Г-13-13 | Преподаватель Захаров_37
Группа 4326 | Предмет Алгоритмы_и_структуры_данных | Время СР 5 пара | Аудитория Г-12-15 | Преподаватель Кузнецов_23
Группа 4326 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 3 пара | Аудитория Г-52-20 | Преподаватель Николаев_53
Группа 4326 | Предмет ТАУ | Время ПТ 5 пара | Аудитория БМ-34-15 | Преподаватель Морозов_9
Группа 4326 | Предмет Микропроцессорные_системы | Время ЧТ 1 пара | Аудитория БМ-35-15 | Преподаватель Волков_70
Группа 4326 | Предмет Микропроцессорные_системы | Время ПН 2 пара | Аудитория БМ-41-13 | Преподаватель Волков_70
Группа 4326 | Предмет Защита_информации | Время СР 4 пара | Аудитория Г-12-26 | Преподаватель Петров_41
Группа 4326 | Предмет Экономика | Время ПТ 4 пара | Аудитория Г-34-13 | Преподаватель Захаров_57
Группа 4326 | Предмет Экономика | Время ПТ 6 пара | Аудитория Г-22-28 | Преподаватель Степанов_72
Группа 4326 | Предмет Английский_язык | Время ВТ 4 пара | Аудитория БМ-33-16 | Преподаватель Попов_44
Группа 4326 | Предмет Английский_язык | Время ПН 6 пара | Аудитория БМ-14-19 | Преподаватель Попов_44
Группа 4327 | Предмет Программирование | Время ПН 3 пара | Аудитория Г-41-11 | Преподаватель Волков_30
Группа 4327 | Предмет Базы_данных | Время ВТ 4 пара | Аудитория БМ-21-09 | Преподаватель Кузнецов_63
Группа 4327 | Предмет Схемотехника | Время ЧТ 4 пара | Аудитория Г-21-12 | Преподаватель Попов_4
Группа 4327 | Предмет Схемотехника | Время СР 5 пара | Аудитория Г-31-18 | Преподаватель Борисов_79
Группа 4327 | Предмет Сети_ЭВМ | Время ПТ 6 пара | Аудитория БМ-42-03 | Преподаватель Соколов_65
Группа 4327 | Предмет Инженерная_графика | Время ПН 4 пара | Аудитория Г-15-07 | Преподаватель Макаров_36
Группа 4327 | Предмет ОС | Время ПН 2 пара | Аудитория Г-31-26 | Преподаватель Козлов_7
Группа 4327 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 3 пара | Аудитория БМ-44-07 | Преподаватель Зайцев_38
Группа 4327 | Предмет Алгоритмы_и_структуры_данных | Время СР 3 пара | Аудитория БМ-55-27 | Преподаватель Кузнецов_23
Группа 4327 | Предмет Защита_информации | Время ВТ 6 пара | Аудитория Г-22-28 | Преподаватель Алексеев_11
Группа 4327 | Предмет Защита_информации | Время ВТ 5 пара | Аудитория Г-42-16 | Преподаватель Алексеев_71
Группа 4327 | Предмет Экономика | Время ЧТ 2 пара | Аудитория БМ-25-29 | Преподаватель Козлов_27
Группа 4327 | Предмет Экономика | Время ПТ 5 пара | Аудитория Г-31-18 | Преподаватель Захаров_57
Группа 4327 | Предмет Философия | Время СР 2 пара | Аудитория Г-15-03 | Преподаватель Зайцев_58
Группа 4327 | Предмет Философия | Время ВТ 3 пара | Аудитория Г-23-23 | Преподаватель Новиков_28
Группа 4327 | Предмет Английский_язык | Время ЧТ 1 пара | Аудитория БМ-41-12 | Преподаватель Орлов_14
Группа 4328 | Предмет Программирование | Время ЧТ 5 пара | Аудитория Г-45-08 | Преподаватель Иванов_0
Группа 4328 | Предмет Программирование | Время СР 4 пара | Аудитория Г-52-25 | Преподаватель Павлов_15
Группа 4328 | Предмет Физика | Время ЧТ 4 пара | Аудитория Г-52-06 | Преподаватель Захаров_17
Группа 4328 | Предмет Физика | Время ПН 6 пара | Аудитория БМ-44-06 | Преподаватель Степанов_32
Группа 4328 | Предмет Схемотехника | Время ЧТ 6 пара | Аудитория БМ-55-07 | Преподаватель Попов_4
Группа 4328 | Предмет Сети_ЭВМ | Время ПН 5 пара | Аудитория БМ-35-16 | Преподаватель Иванов_20
Группа 4328 | Предмет ОС | Время ПН 2 пара | Аудитория БМ-34-12 | Преподаватель Смирнов_22
Группа 4328 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 1 пара | Аудитория БМ-35-16 | Преподаватель Кузнецов_23
Группа 4328 | Предмет ТАУ | Время ПН 4 пара | Аудитория Г-35-21 | Преподаватель Морозов_9
Группа 4328 | Предмет Микропроцессорные_системы | Время ВТ 2 пара | Аудитория БМ-53-14 | Преподаватель Иванов_40
Группа 4328 | Предмет Микропроцессорные_системы | Время ВТ 3 пара | Аудитория Г-35-21 | Преподаватель Волков_70
Группа 4329 | Предмет Высшая_математика | Время ПН 6 пара | Аудитория БМ-25-29 | Преподаватель Лебедев_46
Группа 4329 | Предмет Высшая_математика | Время ЧТ 2 пара | Аудитория Г-55-08 | Преподаватель Макаров_16
Группа 4329 | Предмет Физика | Время СР 4 пара | Аудитория Г-42-29 | Преподаватель Смирнов_62
Группа 4329 | Предмет Базы_данных | Время ЧТ 4 пара | Аудитория Г-22-03 | Преподаватель Новиков_48
Группа 4329 | Предмет Схемотехника | Время ПН 5 пара | Аудитория Г-51-14 | Преподаватель Попов_64
Группа 4329 | Предмет Инженерная_графика | Время СР 2 пара | Аудитория БМ-14-19 | Преподаватель Макаров_36
Группа 4329 | Предмет Инженерная_графика | Время СР 5 пара | Аудитория Г-31-12 | Преподаватель Лебедев_66
Группа 4329 | Предмет ОС | Время ВТ 3 пара | Аудитория Г-13-13 | Преподаватель Козлов_7
Группа 4329 | Предмет ОС | Время СР 6 пара | Аудитория Г-21-12 | Преподаватель Степанов_52
Группа 4329 | Предмет ТАУ | Время ПН 3 пара | Аудитория Г-14-16 | Преподаватель Борисов_39
Группа 4329 | Предмет Микропроцессорные_системы | Время ЧТ 6 пара | Аудитория БМ-15-20 | Преподаватель Волков_10
Группа 4329 | Предмет Микропроцессорные_системы | Время ЧТ 3 пара | Аудитория Г-53-02 | Преподаватель Волков_70
Группа 4329 | Предмет Английский_язык | Время ПТ 1 пара | Аудитория БМ-22-30 | Преподаватель Орлов_74
Группа 4330 | Предмет Программирование | Время ЧТ 2 пара | Аудитория Г-53-15 | Преподаватель Иванов_0
Группа 4330 | Предмет Программирование | Время ПТ 2 пара | Аудитория Г-22-28 | Преподаватель Иванов_0
Группа 4330 | Предмет Базы_данных | Время ЧТ 3 пара | Аудитория Г-31-11 | Преподаватель Зайцев_18
Группа 4330 | Предмет Базы_данных | Время ПН 3 пара | Аудитория Г-22-03 | Преподаватель Зайцев_18
Группа 4330 | Предмет Схемотехника | Время ВТ 5 пара | Аудитория БМ-41-13 | Преподаватель Борисов_79
Группа 4330 | Предмет Инженерная_графика | Время СР 6 пара | Аудитория Г-23-15 | Преподаватель Макаров_36
Группа 4330 | Предмет Инженерная_графика | Время ПТ 3 пара | Аудитория БМ-33-16 | Преподаватель Макаров_36
Группа 4330 | Предмет ОС | Время ПТ 4 пара | Аудитория БМ-34-12 | Преподаватель Козлов_7
Группа 4330 | Предмет ОС | Время ПН 2 пара | Аудитория Г-43-22 | Преподаватель Степанов_52
Группа 4330 | Предмет Микропроцессорные_системы | Время СР 5 пара | Аудитория БМ-51-19 | Преподаватель Волков_10
Группа 4330 | Предмет Экономика | Время ПН 1 пара | Аудитория Г-31-18 | Преподаватель Степанов_12
Группа 4330 | Предмет Философия | Время ЧТ 4 пара | Аудитория Г-12-26 | Преподаватель Зайцев_58
Группа 4330 | Предмет Философия | Время ЧТ 5 пара | Аудитория Г-23-23 | Преподаватель Зайцев_58
Группа 4331 | Предмет Программирование | Время ЧТ 2 пара | Аудитория БМ-41-12 | Преподаватель Соколов_45
Группа 4331 | Предмет Программирование | Время ЧТ 4 пара | Аудитория Г-31-11 | Преподаватель Иванов_0
Группа 4331 | Предмет Высшая_математика | Время ПТ 3 пара | Аудитория Г-51-14 | Преподаватель Лебедев_46
Группа 4331 | Предмет Высшая_математика | Время ПТ 2 пара | Аудитория Г-15-07 | Преподаватель Алексеев_31
Группа 4331 | Предмет Схемотехника | Время ВТ 4 пара | Аудитория БМ-51-19 | Преподаватель Борисов_19
Группа 4331 | Предмет Схемотехника | Время ЧТ 3 пара | Аудитория Г-54-18 | Преподаватель Попов_64
Группа 4331 | Предмет Сети_ЭВМ | Время ПН 4 пара | Аудитория БМ-34-15 | Преподаватель Соколов_5
Группа 4331 | Предмет Инженерная_графика | Время ПТ 1 пара | Аудитория Г-43-22 | Преподаватель Петров_21
Группа 4331 | Предмет ОС | Время ВТ 5 пара | Аудитория БМ-25-29 | Преподаватель Козлов_7
Группа 4331 | Предмет ОС | Время ПН 6 пара | Аудитория Г-34-14 | Преподаватель Степанов_52
Группа 4331 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 5 пара | Аудитория БМ-51-17 | Преподаватель Новиков_68
Группа 4331 | Предмет Алгоритмы_и_структуры_данных | Время ПН 5 пара | Аудитория БМ-51-17 | Преподаватель Новиков_68
Группа 4331 | Предмет Защита_информации | Время ВТ 3 пара | Аудитория БМ-42-09 | Преподаватель Макаров_56
Группа 4331 | Предмет Защита_информации | Время СР 2 пара | Аудитория БМ-42-28 | Преподаватель Макаров_56
Группа 4331 | Предмет Философия | Время СР 3 пара | Аудитория Г-43-22 | Преподаватель Новиков_28
Группа 4331 | Предмет Английский_язык | Время ПН 3 пара | Аудитория БМ-24-02 | Преподаватель Орлов_74
Группа 4331 | Предмет Английский_язык | Время ВТ 2 пара | Аудитория Г-52-25 | Преподаватель Орлов_74
Группа 4332 | Предмет Физика | Время ПН 3 пара | Аудитория Г-12-17 | Преподаватель Козлов_47
Группа 4332 | Предмет Физика | Время ПН 1 пара | Аудитория БМ-35-15 | Преподаватель Смирнов_62
Группа 4332 | Предмет Схемотехника | Время ЧТ 2 пара | Аудитория Г-13-13 | Преподаватель Борисов_79
Группа 4332 | Предмет Схемотехника | Время СР 2 пара | Аудитория Г-13-13 | Преподаватель Попов_4
Группа 4332 | Предмет Сети_ЭВМ | Время ПН 2 пара | Аудитория БМ-51-08 | Преподаватель Павлов_35
Группа 4332 | Предмет Сети_ЭВМ | Время ЧТ 1 пара | Аудитория БМ-25-29 | Преподаватель Соколов_5
Группа 4332 | Предмет Инженерная_графика | Время ПТ 3 пара | Аудитория БМ-25-05 | Преподаватель Лебедев_66
Группа 4332 | Предмет Инженерная_графика | Время ПТ 4 пара | Аудитория БМ-42-28 | Преподаватель Лебедев_6
Группа 4332 | Предмет ОС | Время ВТ 2 пара | Аудитория Г-35-21 | Преподаватель Степанов_52
Группа 4332 | Предмет ОС | Время СР 5 пара | Аудитория Г-34-14 | Преподаватель Смирнов_22
Группа 4332 | Предмет Алгоритмы_и_структуры_данных | Время ПН 4 пара | Аудитория Г-55-08 | Преподаватель Новиков_68
Группа 4332 | Предмет ТАУ | Время СР 4 пара | Аудитория Г-45-12 | Преподаватель Попов_24
Группа 4332 | Предмет ТАУ | Время СР 3 пара | Аудитория Г-13-13 | Преподаватель Борисов_39
Группа 4332 | Предмет Микропроцессорные_системы | Время ВТ 4 пара | Аудитория Г-53-07 | Преподаватель Волков_70
Группа 4332 | Предмет Философия | Время ЧТ 6 пара | Аудитория Г-55-08 | Преподаватель Николаев_73
Группа 4332 | Предмет Философия | Время ЧТ 5 пара | Аудитория БМ-25-29 | Преподаватель Кузнецов_43
Группа 4332 | Предмет Английский_язык | Время ВТ 5 пара | Аудитория БМ-22-30 | Преподаватель Попов_44
Группа 4332 | Предмет Английский_язык | Время ВТ 3 пара | Аудитория БМ-51-08 | Преподаватель Борисов_59
Группа 4333 | Предмет Программирование | Время ВТ 4 пара | Аудитория Г-31-11 | Преподаватель Иванов_0
Группа 4333 | Предмет Программирование | Время ВТ 5 пара | Аудитория БМ-43-21 | Преподаватель Иванов_60
Группа 4333 | Предмет Базы_данных | Время ПТ 2 пара | Аудитория БМ-41-13 | Преподаватель Кузнецов_63
Группа 4333 | Предмет Базы_данных | Время СР 5 пара | Аудитория БМ-25-05 | Преподаватель Зайцев_18
Группа 4333 | Предмет Схемотехника | Время ПН 3 пара | Аудитория Г-43-22 | Преподаватель Орлов_34
Группа 4333 | Предмет Сети_ЭВМ | Время СР 4 пара | Аудитория БМ-14-19 | Преподаватель Волков_50
Группа 4333 | Предмет Инженерная_графика | Время ЧТ 4 пара | Аудитория БМ-31-04 | Преподаватель Макаров_36
Группа 4333 | Предмет ОС | Время ПН 5 пара | Аудитория БМ-35-15 | Преподаватель Козлов_67
Группа 4333 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 3 пара | Аудитория БМ-21-09 | Преподаватель Новиков_8
Группа 4333 | Предмет Микропроцессорные_системы | Время ЧТ 5 пара | Аудитория Г-21-12 | Преподаватель Волков_70
Группа 4333 | Предмет Микропроцессорные_системы | Время СР 2 пара | Аудитория Г-54-18 | Преподаватель Иванов_40
Группа 4333 | Предмет Защита_информации | Время ПН 4 пара | Аудитория Г-14-16 | Преподаватель Макаров_56
Группа 4333 | Предмет Экономика | Время ЧТ 6 пара | Аудитория БМ-22-30 | Преподаватель Смирнов_42
Группа 4333 | Предмет Экономика | Время ПТ 4 пара | Аудитория БМ-44-06 | Преподаватель Смирнов_42
Группа 4333 | Предмет Философия | Время СР 3 пара | Аудитория Г-45-08 | Преподаватель Кузнецов_43
Группа 4334 | Предмет Программирование | Время ПТ 3 пара | Аудитория БМ-14-07 | Преподаватель Соколов_45
Группа 4334 | Предмет Программирование | Время СР 2 пара | Аудитория БМ-34-02 | Преподаватель Павлов_75
Группа 4334 | Предмет Базы_данных | Время СР 5 пара | Аудитория БМ-25-22 | Преподаватель Зайцев_78
Группа 4334 | Предмет Схемотехника | Время ЧТ 6 пара | Аудитория Г-53-29 | Преподаватель Попов_64
Группа 4334 | Предмет Схемотехника | Время ЧТ 4 пара | Аудитория Г-54-18 | Преподаватель Орлов_34
Группа 4334 | Предмет Сети_ЭВМ | Время ЧТ 5 пара | Аудитория БМ-42-03 | Преподаватель Волков_50
Группа 4334 | Предмет Инженерная_графика | Время ПН 2 пара | Аудитория Г-24-09 | Преподаватель Алексеев_51
Группа 4334 | Предмет Инженерная_графика | Время СР 3 пара | Аудитория Г-23-15 | Преподаватель Алексеев_51
Группа 4334 | Предмет ОС | Время ПТ 4 пара | Аудитория БМ-22-30 | Преподаватель Козлов_67
Группа 4334 | Предмет ОС | Время ПТ 2 пара | Аудитория БМ-25-29 | Преподаватель Степанов_52
Группа 4334 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 6 пара | Аудитория БМ-44-06 | Преподаватель Николаев_53
Группа 4334 | Предмет Микропроцессорные_системы | Время СР 6 пара | Аудитория БМ-51-19 | Преподаватель Павлов_55
Группа 4334 | Предмет Микропроцессорные_системы | Время ПТ 1 пара | Аудитория Г-53-02 | Преподаватель Павлов_55
Группа 4334 | Предмет Экономика | Время ВТ 5 пара | Аудитория БМ-13-25 | Преподаватель Степанов_12
Группа 4335 | Предмет Базы_данных | Время ПТ 4 пара | Аудитория Г-24-09 | Преподаватель Новиков_48
Группа 4335 | Предмет Базы_данных | Время ВТ 4 пара | Аудитория Г-11-28 | Преподаватель Кузнецов_3
Группа 4335 | Предмет Схемотехника | Время ПН 6 пара | Аудитория БМ-55-07 | Преподаватель Борисов_19
Группа 4335 | Предмет Инженерная_графика | Время ВТ 2 пара | Аудитория БМ-13-25 | Преподаватель Петров_21
Группа 4335 | Предмет Инженерная_графика | Время ПТ 1 пара | Аудитория БМ-13-11 | Преподаватель Лебедев_6
Группа 4335 | Предмет ТАУ | Время СР 3 пара | Аудитория БМ-25-29 | Преподаватель Попов_24
